359 428 535 1617 2848
waged 0 0 0 1 0
&lt;RTA> 0 0 0 1 0
Hotel. 0 0 0 1 0
boasrd 0 0 0 1 0
EMERALD 0 0 0 0 1
&lt;EHP> 0 0 0 0 1
Emerald 0 0 0 0 2
30-ct 0 0 0 0 1
MCGILL 0 0 0 1 0
MFTG 0 0 0 1 0
&lt;MGLL> 0 0 0 1 0
McGill 0 0 0 4 0
88,580 0 0 0 1 0
14,135 0 0 0 1 0
33.57 0 0 0 1 0
34.57 0 0 0 1 0
AMFAC 0 0 0 1 0
&lt;AMA> 0 0 0 1 0
Amfac 0 0 0 1 0
Mateo 0 0 0 1 0
247,100 0 0 0 0 1
345,300 0 0 0 0 1
4,529,300 0 0 0 0 1
3,482,800 0 0 0 0 1
261,300 0 0 0 0 1
793,700 0 0 0 0 1
9,957,200 0 0 0 0 1
&lt;GLW>, 0 0 0 1 0
&lt;HLC> 0 0 0 1 0
EXCAHNGE 0 0 0 1 0
RATIO 0 0 0 1 0
Glass 0 0 0 5 5
Hazleton 0 0 0 4 0
COGECO 0 0 0 1 0
STATION, 0 0 0 1 0
&lt;Cogeco 0 0 0 1 0
CJMF-FM 0 0 0 1 0
Radio-Television 0 0 0 1 0
BALDRIGE 0 0 3 1 0
NEEDED 0 0 2 0 0
PEGGED 0 0 2 0 0
RIDE 0 0 1 0 0
temporary, 0 0 2 0 0
yen) 0 0 1 0 0
bit," 0 0 1 0 0
investors) 0 0 1 0 0
o'clock 0 0 1 0 0
(0100 0 0 1 0 0
GMT)," 0 0 1 0 0
146.20. 0 0 1 0 0
irrational. 0 0 1 0 0
anything, 0 0 1 0 0
Decision 0 0 1 0 5
slap 0 0 1 0 0
stance," 0 0 2 0 0
MORRIS 0 0 0 0 1
&lt;MO> 0 0 0 0 1
88-1/4. 0 0 0 0 1
Stanley's 0 0 0 0 1
becasue 0 0 0 0 1
Morgan's 0 0 0 0 1
&lt;ELDERS 0 0 0 0 1
16.93 0 0 0 0 1
160.14 0 0 0 0 1
6.29 0 0 1 0 1
10.05 0 0 0 0 2
223.16 0 0 0 0 1
183.68 0 0 0 0 1
Two-for-seven 0 0 0 0 1
non-renounceable 0 0 0 0 1
7.04 0 0 0 0 1
3.82 0 0 0 0 1
821,000 0 0 0 0 2
46.99 0 0 0 0 1
&lt;ELXA.S>. 0 0 0 0 1
&lt;CNS> 0 0 0 0 1
7,602,000 0 0 0 0 1
141.5 0 0 0 0 1
397.2 0 0 0 0 1
181.1 0 0 0 0 1
6.14 0 0 2 0 1
permanently, 0 0 1 0 0
SAFETY-KLEEN 0 0 0 3 0
&lt;SK> 0 0 0 3 0
MCKESSON 0 0 0 1 0
&lt;MCK> 0 0 0 2 0
Safety-Kleen 0 0 0 4 0
McKesson 0 0 0 6 0
Envirosystems 0 0 0 3 0
Envirosystems' 0 0 0 1 0
collects 0 0 0 1 0
flammable 0 0 0 1 0
solvents 0 0 0 2 0
analyzes 0 0 0 1 0
processes 0 0 0 1 0
burned. 0 0 0 1 0
&lt;EQTY> 0 0 0 0 1
1,102,592 0 0 0 0 1
1,364,763 0 0 0 0 1
2,836,508 0 0 0 0 1
5,547,121 0 0 0 0 1
789,300 0 0 0 0 1
3,953,822 0 0 0 0 1
KNIGHT-RIDDER 0 0 0 0 1
&lt;KRN> 0 0 0 0 1
Huh 2 0 0 0 0
Sun-yong, 1 0 0 0 0
Seoul 2 0 0 0 0
"positively 1 0 0 0 0
countries." 1 0 0 0 0
uncompetitive. 1 0 0 0 0
&lt;CFIN> 0 0 0 0 1
6,247,000 0 0 0 0 1
5,587,000 0 0 0 0 1
&lt;DAEWOO 0 0 0 0 1
4,214.9 0 0 0 0 1
3,779.2 0 0 0 0 1
5,200 0 0 0 0 1
ASSOCIATED 0 0 0 1 0
NEWSPAPERS 0 0 0 2 0
&lt;Associated 0 0 0 1 0
128.9 0 0 0 1 0
Star's 0 0 0 3 0
623 0 0 0 1 0
placements 0 0 0 1 0
&lt;Westfield 0 0 0 1 0
Westfield 0 0 0 1 0
result. 0 0 0 1 0
DRAVO 0 0 0 0 1
&lt;DRV> 0 0 0 0 1
Dravo 0 0 0 0 3
ct, 0 0 0 0 1
saidperformance 0 0 0 0 1
fromn 0 0 0 0 1
forecasted 0 0 0 0 1
Dravo's 0 0 0 0 1
stevedoring 0 1 0 0 1
pipe 0 0 0 0 3
frabrication 0 0 0 0 1
permanenty 0 0 0 0 1
SUBSIDIARY'S 0 0 0 1 1
FSHG. 0 0 0 0 1
Recrod 0 0 0 0 1
COUNTERPRODUCTIVE 0 0 2 0 0
TEAM 0 0 0 0 1
&lt;TMI> 0 0 0 0 1
355,000 0 0 0 0 2
2,846,000 0 0 0 0 1
SHORT-TERM 0 0 1 0 0
FALLING 0 0 3 0 1
buoyed 0 0 1 1 0
begins, 0 0 1 0 0
end-of-fiscal-year 0 0 1 0 0
Attractive 0 0 1 0 0
decontrolled 0 0 1 0 0
17,830 0 0 1 0 0
end-December, 0 0 1 0 0
three-fold 0 0 1 0 0
unconditional 0 0 1 1 1
3.5000 0 0 1 0 0
4.0635 0 0 1 0 0
3.875 0 0 1 0 0
4.0000 0 0 1 0 0
4.10/4.15 0 0 1 0 0
4.35/25. 0 0 1 0 0
RAISING 1 0 0 2 1
&lt;MFTN> 0 0 0 1 0
Hendersonville, 0 0 0 1 0
UNLESS 0 0 2 0 0
bearish, 0 1 2 0 0
151.50 0 0 2 0 0
Fears 0 0 3 2 0
Deficit. 0 0 2 0 0
Steps 0 0 2 0 0
weaken 0 0 3 0 0
Parliamentary 1 0 2 0 0
taken, 0 0 3 0 0
grow, 0 1 2 0 0
"Underlying 0 0 2 0 0
still-sluggish 0 0 2 0 0
clout 0 0 2 0 0
Iran/Contra 0 0 2 0 0
scandal," 0 0 2 0 0
140.00 0 0 2 0 0
Yukuo 0 0 2 0 0
Takahashi. 0 0 2 0 0
efficacy 0 0 2 0 0
Branch 0 0 2 0 0
Hiroshi 0 0 2 0 0
Mochizuki 0 0 2 0 0
Seems 0 0 2 0 0
TIME 0 0 0 4 2
&lt;TL> 0 0 0 3 2
CONSORTIUM 0 0 0 2 0
Jr., 0 0 0 1 0
details, 0 1 0 1 0
Turner 0 0 0 1 4
&lt;TBS>. 0 0 0 1 0
READING 0 0 0 1 1
&lt;RDGC> 0 0 0 1 1
1,364,000 0 0 0 0 1
3,372,970 0 0 0 0 1
3,425,400 0 0 0 0 1
3,383,651 0 0 0 0 1
3,418,594 0 0 0 0 1
DANZAR 0 0 0 0 1
&lt;DNZR> 0 0 0 0 1
Danzar 0 0 0 0 3
&lt;Commonwealth 0 0 0 0 2
18,750,000 0 0 0 0 1
holds. 0 0 0 1 1
NUCOR 0 0 0 0 1
&lt;NUE> 0 0 0 0 1
DEPUTY 2 0 2 0 0
marketing, 1 1 0 0 1
WAM 2 0 0 0 0
Sunday's 1 0 0 0 0
Doha 1 0 0 0 0
(UAE), 1 0 0 0 0
Organiaation 1 0 0 0 0
&lt;LLY> 0 0 0 2 0
Eli 0 0 0 2 0
Lilly 0 0 0 6 0
Elizabeth 0 0 0 1 0
fragrance 0 0 0 3 0
1971, 0 0 0 1 0
resources, 0 0 0 3 0
sciences 0 0 0 2 0
orientation." 0 0 0 1 0
&lt;SFP> 0 0 0 0 1
Compania 0 1 0 0 0
y 0 1 0 0 0
Abastecimiento 0 1 0 0 0
(CINDASA) 0 1 0 0 0
28.95 0 1 0 0 0
kilo 0 3 0 0 0
CINDASA 0 2 0 0 0
Ghent 0 1 0 0 0
milling. 0 1 0 0 0
0.25 0 1 0 1 0
GSM-102 0 1 0 0 0
(GSM-103) 0 1 0 0 0
&lt;TOL> 0 0 0 0 2
Toll 0 0 0 0 1
ODYSSEY 0 0 0 1 0
FILMPARTNERS 0 0 0 1 0
&lt;ODYY> 0 0 0 1 0
Odyssey 0 0 0 1 0
Filmpartners 0 0 0 1 0
Color 0 0 0 1 0
Labs>, 0 0 0 1 0
SECTORS 0 0 0 0 4
&lt;BTI.L> 0 0 0 0 3
running, 0 0 0 0 1
Sheehy 0 0 0 0 5
Argos 0 0 0 0 1
Saks 0 0 0 0 1
Fifth 0 0 0 0 1
Avenue 0 0 0 0 1
Teape 0 0 0 0 1
764 0 0 0 0 2
537p 0 0 0 0 1
0955 0 0 0 0 1
Williamson 0 0 0 0 1
Dunbar 0 0 0 0 2
Teape's 0 0 0 0 1
BATUS 0 0 0 0 1
Grovewood 0 0 0 0 1
&lt;HZN> 0 0 0 0 1
572,000 0 0 0 0 3
4,311,000 0 0 0 0 1
9,817,000 0 0 0 0 1
7,224,000 0 0 0 0 1
6,731,000 0 0 0 0 1
168,000 0 0 0 0 1
Hills, 0 0 0 4 1
N.M., 0 0 0 0 1
&lt;SILICON 0 0 0 0 1
BANCSHARES> 0 0 0 0 1
Silicon 0 0 0 1 1
USAIR, 0 0 0 3 0
Transporation 0 0 0 1 0
transporation 0 0 0 1 0
MIDWAY 0 0 0 1 0
&lt;MDWY> 0 0 0 1 0
Midway 0 0 0 3 0
Junior 0 0 0 2 0
Participating 0 0 0 2 0
commences 0 0 0 1 0
expieration 0 0 0 1 0
companyt's 0 0 0 1 0
acquired, 0 0 0 1 0
hodler 0 0 0 1 0
108.6 0 0 0 0 1
70.0 0 0 0 0 1
36.7 0 0 0 0 6
260.4 0 0 0 0 1
193.0 0 0 0 0 1
1,783,000 0 0 0 0 1
228.5 0 0 0 0 1
equity-accounted 0 0 0 0 1
14.20 0 0 0 1 2
14.60 1 0 0 0 1
&lt;McCaughan 0 0 0 0 1
Dyson 0 0 0 0 1
&lt;David 0 0 0 0 1
Jones 0 0 0 12 1
beneficiary, 0 0 0 0 1
Jones, 0 0 0 1 1
Adsteam, 0 0 0 0 1
57.38 0 0 0 0 1
40.29 0 0 0 0 1
timber, 0 0 0 0 1
below-budget 0 0 0 0 1
downturn. 0 0 0 0 2
reconstruction 0 0 0 0 1
TRANSWORLD 0 0 0 0 2
&lt;TWT> 0 0 0 0 2
DISTRIBUTE 0 0 0 0 1
20.10 0 0 0 1 1
UAL's 0 0 0 3 1
56.50 0 0 0 0 1
835.7 0 0 0 0 1
977.2 0 0 0 0 1
Pursuant 0 0 0 0 1
55,493 0 0 0 0 1
0.051675 0 0 0 0 1
975.8 0 0 0 0 1
ouststanding 0 0 0 0 1
satisfaction 0 0 0 0 2
distribution, 0 0 0 0 1
surrender 0 0 0 0 1
International. 0 0 0 1 1
&lt;MCCRK> 0 0 0 0 2
4,202,000 0 0 0 0 2
232,006,000 0 0 0 0 1
223,151,000 0 0 0 0 1
ARCHITECTS 0 0 0 0 1
&lt;DRCH> 0 0 0 0 1
5,883,000 0 0 0 0 1
&lt;INSUA> 0 0 0 0 2
&lt;RTC> 0 0 0 2 1
Rochester 0 0 0 3 0
overall, 0 0 0 1 0
TRANSCO 0 0 0 0 2
&lt;EXP> 0 0 0 0 1
ATT-PHILIPS 0 0 0 1 0
BV 0 0 0 3 0
(APT) 0 0 0 1 0
Telephoniques> 0 0 0 1 0
soon-to-be-privatised 0 0 0 1 0
succeeds, 0 0 0 1 0
Mathieu 0 0 0 1 0
Anonyme 0 0 0 3 0
Telecommunications> 0 0 0 2 0
SAT, 0 0 0 2 0
APT, 0 0 0 2 0
&lt;T.N.> 0 0 0 1 0
&lt;PGLO.AS>. 0 0 0 1 0
Midi 0 0 0 2 0
&lt;MCDP.PA> 0 0 0 1 0
make-up 0 0 0 1 0
queries 0 0 0 1 1
nationality 1 0 0 1 0
York> 0 0 0 1 0
Neuflize, 0 0 0 1 0
Mallet 0 0 0 1 0
&lt;ABNN.AS>, 0 0 0 1 0
SAT 0 0 0 2 0
APT 0 0 0 2 0
Wim 0 0 0 1 0
Huisman 0 0 0 1 0
envisaged 0 2 2 1 0
SAT-APT 0 0 0 2 0
997 0 0 0 1 0
APT-SAT 0 0 0 1 0
5ESS-PRX 0 0 0 1 0
standards. 0 0 1 1 0
reopened 0 0 0 1 0
applicants. 0 0 0 1 0
candidacies 0 0 0 1 0
allied 0 0 0 3 0
Schneider 0 0 0 2 0
&lt;SCHN.PA> 0 0 0 2 0
Jeumont-Schneider, 0 0 0 3 0
LM 0 0 0 3 0
&lt;ERIC.ST> 0 0 0 1 0
Matra 0 0 0 3 0
&lt;MATR.PA> 0 0 0 2 0
Bouygues 0 0 0 2 0
&lt;BOUY.PA>, 0 0 0 1 0
&lt;Italtel>, 0 0 0 1 0
&lt;NTL.TO>. 0 0 0 1 0
AMPAL-AMERICAN 0 0 0 0 1
&lt;AIS.A> 0 0 0 0 1
6,416,000 0 0 0 0 1
5,988,000 0 0 0 0 1
112.2 0 0 0 0 1
99.8 0 0 0 0 3
647,000 0 0 0 0 2
restated. 0 0 0 0 9
METROMEDIA 0 0 0 1 0
&lt;Metromedia 0 0 0 1 1
Box 0 0 0 2 1
Orion 0 0 0 1 0
&lt;OPC>. 0 0 0 1 0
Metromedia 0 0 0 1 0
Orion. 0 0 0 1 0
BUILDING 0 0 0 1 2
&lt;SNBL> 0 0 0 0 1
Loan. 0 0 0 0 1
OLIN 0 0 0 1 0
&lt;OLN> 0 0 0 1 0
Olin 0 0 0 2 0
FINALIZES 0 0 0 1 0
Providence 0 0 0 1 0
Attleboro 0 0 0 2 0
co. 0 0 0 1 0
2,273 0 0 0 1 0
288 0 0 0 1 0
RADA 0 0 0 0 1
ELECTRONIC 0 0 0 0 1
INDUSTRIES&lt;RADIF> 0 0 0 0 1
721,000 0 0 0 0 2
4,920,000 0 0 0 0 1
4,184,000 0 0 0 0 1
6,425,925 0 0 0 0 1
6,599,000 0 0 0 0 1
Rada 0 0 0 1 1
&lt;TXC> 1 0 0 0 0
REFERRING 0 0 0 1 0
independent, 0 0 0 3 1
non-exective 0 0 0 1 0
Cravath 0 0 0 1 0
Swaine 0 0 0 1 0
&lt;MMD> 0 0 0 1 0
Penta 0 0 0 1 0
Products, 0 0 0 1 0
durgs, 0 0 0 1 0
CORRECTED-LILLY 0 0 0 0 1
COATINGS 0 0 0 0 2
&lt;LICIA> 0 0 0 0 2
8,517,000 0 0 0 0 2
8,441,000 0 0 0 0 2
SPARTECH&lt;SPTN> 0 0 0 0 1
SPLIT,DEBENTURE 0 0 0 0 1
1999. 0 0 0 0 1
riased 1 0 0 0 0
REYNOLD 0 0 0 0 1
&lt;RLM> 0 0 0 0 1
FURMAN 0 0 0 0 1
SELZ 0 0 0 0 1
Furman 0 0 0 0 4
Selz 0 0 0 0 4
Mager 0 0 0 0 2
Dietz 0 0 0 0 2
Birney 0 0 0 0 2
59-5/8 0 0 0 0 1
729,500 0 0 0 0 1
Gibson 0 0 0 0 1
Boddington 0 0 0 0 4
Reynolds." 0 0 0 0 1
cognizant 0 0 0 0 1
(Reynolds') 0 0 0 0 1
Australia." 0 0 0 0 1
mixed 1 1 2 0 1
bauxite 0 0 0 0 6
mine. 0 0 0 0 2
mined 0 0 0 1 1
Boddington. 0 0 0 0 1
8.18 0 0 0 0 1
&lt;NSM> 0 0 0 0 1
322.3 0 0 0 0 1
91.6 0 0 0 0 2
90.0 0 0 0 0 1
91.2 0 0 0 0 1
89.6 0 0 0 0 1
40-week 0 0 0 0 1
recognizing 0 0 0 0 1
328.9 0 0 0 0 1
120.3 0 0 0 0 2
Datachecker 0 0 0 0 1
&lt;Warburg, 0 0 0 2 0
opffer 0 0 0 1 0
sharesseeking 0 0 0 1 0
oversubscribed 0 0 0 1 0
MCDONNELL 0 0 0 1 0
DOUGLAS 0 0 0 1 0
&lt;MD> 0 0 0 1 0
&lt;REPH>, 0 0 0 1 0
Health. 0 0 0 2 0
Pesch. 0 0 0 4 0
else 0 0 0 6 0
holdings" 0 0 0 1 0
Health, 0 0 0 1 0
BLUE 0 0 0 1 0
GASS 0 0 0 1 0
BREEDERS 0 0 0 1 0
&lt;BLGR> 0 0 0 1 0
Grass 0 0 0 2 0
Breeders 0 0 0 1 0
Equine 0 0 0 3 0
2,741,660 0 0 0 1 0
attainment 0 0 0 1 0
Grass. 0 0 0 1 0
horse 0 0 0 1 0
breeding 0 1 0 1 0
racing 0 0 0 1 0
REPUBLICBANK 0 0 0 0 1
&lt;RPT> 0 0 0 0 1
RECLASSIFY 0 0 0 0 1
RepublicBank 0 0 0 0 6
loan-charge-offs 0 0 0 0 1
RepublicBank, 0 0 0 0 1
&lt;IFC> 0 0 0 0 2
AEROTECH 0 0 0 0 1
&lt;PAR> 0 0 0 0 1
8,954,000 0 0 0 0 1
6,338,000 0 0 0 0 2
2,939,459 0 0 0 0 1
1,979,916 0 0 0 0 2
2,299,764 0 0 0 0 1
176,000 0 0 0 0 1
18-MAR-1987 0 0 0 0 2
WORMALD 0 0 0 1 0
Wormald 0 0 0 5 0
&lt;WOIA.S> 0 0 0 1 0
British-listed 0 0 0 1 0
&lt;Holmes 0 0 0 1 0
par-value 0 0 0 2 0
Holmes 2 0 0 4 0
Wormald, 0 0 0 1 0
Americas 0 0 0 1 0
Holmes' 0 0 0 1 0
9.09 0 0 0 1 0
geographical 0 0 0 1 1
burglar 0 0 0 1 0
alarms 0 0 0 1 0
Holmes's 0 0 0 1 0
amd 0 0 0 1 0
Miami. 0 0 0 1 0
POINT/GENCORP 0 0 0 1 0
surrounds 0 0 0 1 0
15-3/4 0 0 0 2 0
106-1/4 0 0 0 1 0
cooperation," 2 0 0 1 0
disputes, 0 0 0 1 0
dating 0 0 0 1 0
muddies 0 0 0 1 0
muddy 0 1 0 1 0
"short-form" 0 0 0 1 0
glass-maker 0 0 0 2 0
WHJ-TV. 0 0 0 1 0
license. 1 0 0 1 1
Rose, 0 0 0 1 0
valuation, 0 0 0 1 0
DiversiTech, 0 0 0 1 0
Broadcasting, 0 0 0 1 1
emphasizing 0 0 0 1 0
DiversiTech 0 0 0 1 0
1915, 0 0 0 1 0
unfocused 0 0 0 1 0
reynolds 0 0 0 1 0
improve. 2 0 0 1 1
"greenmail." 0 0 0 1 0
unwanted 0 0 0 5 0
surprises 0 0 0 1 0
anymore," 0 0 0 1 0
commented 1 0 0 2 0
WESTWOOD 0 0 0 0 1
&lt;WONE> 0 0 0 0 1
QWTR 0 0 0 0 1
830,000 0 0 0 1 1
12,342,000 0 0 0 0 1
10,826,000 0 0 0 0 1
lamb, 0 1 0 0 0
casein, 0 2 0 0 0
sugar-containing 0 3 0 0 0
tobacco. 0 1 0 0 0
amendments, 0 1 0 0 0
instructs 0 1 0 0 0
R-Ore., 0 1 0 0 0
amendment, 0 3 0 1 0
English, 0 1 0 0 0
D-Okla., 0 1 0 0 0
Arlan 0 2 0 0 0
Stangeland, 0 1 0 0 0
peanut, 0 1 0 0 0
countercyclical 0 1 0 0 0
miscellaneous 0 1 0 0 0
included: 0 1 0 0 0
Urging 0 2 0 0 0
retaliating 0 1 0 0 0
Boosting 0 1 0 0 0
416 0 3 1 0 0
Requiring 0 2 0 0 0
non-tariff 0 1 0 0 0
barrier. 0 1 2 0 0
apparatus. 0 1 0 0 0
1.373/87 0 0 1 0 0
TAJON 0 0 0 0 1
RANCH 0 0 0 0 1
&lt;TRC> 0 0 0 0 1
560,000 0 0 0 0 1
7,597,000 0 0 0 0 1
4,619,000 0 0 0 0 1
1,225,000 0 0 0 0 1
2,161,000 0 0 0 0 1
&lt;A.H.A. 0 0 0 0 1
AUTOMOTIVE 0 0 0 0 3
1,916,000 0 0 0 0 1
2,281,000 0 0 0 0 2
Cronus 0 0 0 2 0
Southwestern 0 0 0 1 7
indebtedness. 0 0 0 1 0
INTEC 0 0 0 0 1
&lt;INTK> 0 0 0 0 1
3,029,930 0 0 0 0 2
2,764,544 0 0 0 0 1
2,463,000 0 0 0 0 1
3,718,000 0 0 0 0 1
2,566,680 0 0 0 0 1
relates 1 0 0 0 5
NOVATRONICS 0 0 0 1 0
Neoax 0 0 0 3 0
Novatronics 0 0 0 2 0
Veeco 0 0 0 1 0
&lt;VEE> 0 0 0 1 0
becomleted 0 0 0 1 0
sheltered 0 0 0 1 0
military-specification 0 0 0 1 0
avionics 0 0 0 1 0
contractors. 0 0 0 1 0
PHARMACEUTICAL 0 0 0 0 2
2,959,000 0 0 0 0 1
1,103,000 0 0 0 0 3
3,686,000 0 0 0 0 4
975,000 0 0 0 0 1
WD-40 0 0 0 0 1
&lt;WDFC> 0 0 0 0 1
2,642,000 0 0 0 0 1
3,017,000 0 0 0 0 1
5,178,000 0 0 0 0 1
5,299,000 0 0 0 0 1
33.8 0 0 1 0 3
CONDEMNATION 0 0 0 0 1
Firstcorp 0 0 0 0 1
weill 0 0 0 0 1
condemnation 0 0 0 0 1
deck 0 0 0 0 1
Wake 0 0 0 0 1
reinvested 0 0 0 1 1
WALLBOARD 0 0 0 1 0
non-binding 0 0 0 1 0
gypsum 0 0 0 1 0
wallboard 0 0 0 1 0
Norwest 0 0 0 1 0
Gypsum. 0 0 0 1 0
PERSIST 0 1 0 0 0
DENIALS 0 1 0 0 0
substance 0 1 0 0 0
reports. 1 2 0 2 1
fiction," 0 1 0 0 0
Service, 0 5 0 0 1
speculation, 0 1 0 0 0
"somebody 0 1 0 0 0
fanning 0 1 0 0 0
(wheat) 0 1 0 0 0
lobbyist 0 2 0 0 0
mid-year, 0 1 0 1 1
"competitively 0 1 0 0 0
Ivlev, 0 1 0 0 0
Amtorg, 0 1 0 0 0
consider" 0 1 0 0 0
Soviets) 0 3 0 0 0
Ivlev 0 1 0 0 0
administration) 0 1 0 0 0
(wheat), 0 1 0 0 0
YIELDS 0 0 1 0 0
3.286 0 0 2 0 0
98.401 0 0 1 0 0
98.392 0 0 1 0 0
3.251 0 0 1 0 0
LANDS 0 0 0 0 1
14,650,000 0 0 0 0 1
11,270,000 0 0 0 0 1
227.1 0 0 0 0 1
10,020,000 0 0 0 0 1
9,980,000 0 0 0 0 1
forma, 0 0 0 0 1
PARISIAN 0 0 0 0 1
&lt;PASN> 0 0 0 0 1
4,313,000 0 0 0 0 1
3,824,000 0 0 0 0 1
72.8 0 0 0 0 1
9,592,000 0 0 0 0 1
8,257,000 0 0 0 0 1
226.4 0 0 0 0 1
184.4 0 0 0 0 1
7,228,000 0 0 0 0 1
Bilzerian, 0 0 0 1 0
'n 0 0 0 2 0
721,900 0 0 0 1 0
13.29 0 0 0 1 0
17.04 0 0 0 1 0
RESTRICTIONS 0 0 1 1 0
high-purity 0 0 0 2 0
restrcitions 0 0 0 1 0
lightning 0 3 0 0 0
rod 0 1 0 1 0
expose 0 2 0 0 0
House-passed 0 1 0 0 0
prevented, 0 1 0 0 0
prevent, 0 1 0 0 0
feedgrain, 0 1 0 0 0
lobbied 0 1 0 0 0
full-scale 0 1 0 0 0
budget-cutting 0 1 0 0 0
Harkin, 0 1 0 0 0
D-Iowa, 0 1 0 0 0
CD 0 0 4 0 0
deposit, 0 0 2 1 0
CD, 0 0 1 0 0
4.27 1 0 2 0 1
4.32 0 0 1 0 0
(previous 0 0 1 0 0
brackets), 0 0 1 0 0
(4.32) 0 0 2 0 0
Certificate, 0 0 1 0 0
3.52 0 0 1 0 0
(3.57) 0 0 1 0 0
4.33 0 0 1 0 0
60-90 0 0 2 0 0
(4.37) 0 0 1 0 0
90-120 0 0 2 0 0
(4.30) 0 0 1 0 0
120-150 0 0 1 0 0
(4.29) 0 0 1 0 0
150-180 0 0 1 0 0
unquoted 0 0 4 0 0
(unquoted) 0 0 5 0 0
180-270 0 0 1 0 0
4.01 0 0 1 0 0
(4.13) 0 0 1 0 0
&lt;ZNAT> 0 0 0 0 1
COST-CUTTING 0 0 0 0 1
cost-cutting 0 0 0 0 3
ATT's 0 0 0 0 3
budgeted." 0 0 0 0 1
"moving 0 0 0 0 1
direction." 0 0 0 1 1
139 0 0 0 0 2
32,000. 0 0 0 0 1
983.3 0 0 0 0 1
858.8 0 0 0 0 1
83.1 0 0 0 0 1
109.8 0 0 0 0 1
METALLGESELLSCHAFT 0 0 0 0 1
&lt;METG.F> 0 0 0 1 1
69.9 0 0 0 0 2
STEWART-WARNER 0 0 0 0 3
&lt;STX> 0 0 0 0 1
3.86 0 0 0 0 3
24,973,000 0 0 0 0 1
2,389,000 0 0 0 0 1
20,861,000 0 0 0 0 1
8,515,000 0 0 0 0 1
268.0 0 0 0 0 1
272.7 0 0 0 0 1
23,675,000 0 0 0 0 1
(pre-tax) 0 0 0 0 1
FASB 0 0 0 0 2
nonoperating 0 0 0 0 1
1,811,000 0 0 0 0 1
Plexus 0 0 0 0 1
1,480,000 0 0 0 0 2
GARTNER 0 0 0 1 0
&lt;GART> 0 0 0 1 0
COMTEC 0 0 0 3 0
&lt;BCSI> 0 0 0 0 1
217,852 0 0 0 0 1
469,274 0 0 0 0 1
ZFOUR 0 0 0 0 1
software. 0 0 0 0 1
1,079,000 0 0 0 0 1
&lt;MLA> 0 0 0 0 1
ORI 0 0 0 1 0
1,414,313 0 0 0 1 0
physicals 1 0 0 0 0
(EFPS) 1 0 0 0 0
initiate, 2 0 0 0 0
closes, 2 0 0 1 0
EFPs, 1 0 0 0 0
platinum 2 0 0 2 0
NYMEX, 2 0 0 0 0
spokeswoman. 3 0 0 1 0
HOW 1 0 0 0 0
deeply 2 0 0 0 0
Yergin 3 0 0 0 0
Herington 1 0 0 0 0
edomestic 1 0 0 0 0
reviewed. 1 0 0 0 0
(addition) 1 0 0 0 0
production." 2 0 0 0 0
unlikey 1 0 0 0 0
"even 1 0 1 0 0
scenerio 1 0 0 0 0
Lichtblau, 2 0 0 0 0
Foundation 1 0 3 1 0
scenario. 1 0 0 0 0
policy." 1 0 1 0 1
Lichtbalu 1 0 0 0 0
"Lowering 1 0 0 0 0
stimulant 1 0 0 0 0
output) 1 0 0 0 0
Lichtblau 1 0 0 0 0
Tappmeyer, 1 0 0 0 0
Contractors, 1 0 0 0 0
asssociation 1 0 0 0 0
nation." 1 0 0 0 0
CERA 1 0 0 0 0
uphill 1 0 0 0 0
battle. 1 0 0 0 0
Orval 1 0 0 0 0
Hansen, 1 0 0 0 0
Congressmen 4 1 0 0 0
respondents 1 0 0 0 0
sample 1 3 0 0 0
critical, 1 0 0 0 0
(imports) 1 0 0 0 0
action." 1 0 0 0 1
u.s. 1 1 0 0 0
shopuld 1 0 0 0 0
IMPROVE 0 1 0 0 0
OUTLOOK-ANALYSTS 0 1 0 0 0
anybody," 0 1 0 0 0
"Bud" 0 1 0 0 0
Frazier, 0 1 0 0 0
Balfour 0 1 0 0 0
MacLaine, 0 1 0 0 0
excited 0 1 0 1 0
Frazier 0 5 0 0 0
56.8 0 1 0 0 0
guesses. 0 1 0 0 0
Susan 0 2 0 0 0
Hackmann, 0 1 0 0 0
AgriAnalysis, 0 1 0 0 0
bell 0 1 0 0 0
rang 0 1 0 0 0
disappearance 0 3 0 0 0
(corn 0 1 0 0 0
soybeans) 0 1 0 0 0
had," 0 1 0 0 0
hog 0 1 0 0 0
Hackmann 0 5 0 0 0
(which) 0 1 0 0 0
temper 0 1 1 0 0
enthusiasm 0 1 0 0 0
opening," 0 1 0 0 0
bushels. 0 5 0 0 0
stocks," 0 1 1 0 0
rebuilding 0 1 0 0 0
panelists 0 1 0 0 0
Meyer. 0 1 0 0 0
Wilmington, 0 0 0 0 1
GEICO 0 0 0 0 1
&lt;GEC> 0 0 0 1 1
&lt;CABRE 0 0 0 0 1
604,000 0 0 0 0 1
1,889,000 0 0 0 0 1
1,920,000 0 0 0 0 2
TOYS 0 0 0 0 1
"R" 0 0 0 0 1
&lt;TOY> 0 0 0 0 1
88.1 0 0 0 0 1
924.0 0 0 0 0 1
152.2 0 0 0 0 3
119.8 0 0 0 0 1
3,244,000 0 0 0 0 1
2,584,000 0 0 0 0 1
169.3 0 0 0 0 1
156.0 0 0 0 0 2
9,733,000 0 0 0 0 1
7,164,000 0 0 0 0 1
585.6 0 0 0 0 2
541.0 0 0 0 0 1
