crude grain money-fx acq earn
network. 0 0 0 3 3
subscribers 0 0 0 3 3
adding, 0 0 0 2 4
professional 0 0 0 3 3
2. 0 0 4 1 1
farms 0 6 0 0 0
himself 1 1 2 2 0
Norstar 0 0 0 6 0
51.5 0 2 0 1 3
Rhode 0 0 0 6 0
INTERESTED 0 0 0 6 0
understanding 0 0 1 3 2
endorsed 2 2 2 0 0
threaten 4 1 1 0 0
9-11/16 0 0 6 0 0
ample 1 3 0 0 2
'N 0 0 0 5 1
NEED 3 1 1 0 1
strain 2 2 1 0 1
flowed 1 0 5 0 0
clauses 1 3 1 1 0
AB> 2 0 0 3 1
facility, 2 0 0 3 1
aircraft. 0 0 0 2 4
exploring 1 0 0 4 1
REvs 0 0 0 0 6
1991, 2 1 0 1 2
42.3 0 0 1 0 5
RESORTS 0 0 0 6 0
Casino 0 0 0 5 1
Resorts 0 0 0 6 0
licensed 1 0 1 4 0
Grace 0 0 0 6 0
126 0 0 0 2 4
harvesting 0 6 0 0 0
DIAGNOSTIC 0 0 0 4 2
INTERVENED 0 0 6 0 0
manner 0 1 2 3 0
War 2 1 3 0 0
REPUBLIC 0 0 0 2 4
state. 0 0 2 1 3
posting 2 0 0 0 4
bonuses 0 4 0 0 2
intermediate 1 1 0 0 4
restaurant 0 0 0 3 3
selected 1 2 0 2 1
winter, 0 5 0 1 0
protest 1 2 2 1 0
30.1 0 0 0 1 5
Lewis 1 0 1 4 0
948,000 4 0 0 0 2
facts 0 0 0 5 1
intangible 0 0 0 1 5
amortization 0 0 0 0 6
ounce 0 0 1 4 1
EGYPT 0 6 0 0 0
meeting." 4 0 0 2 0
bidders 0 0 1 5 0
PROTECTION 1 0 0 5 0
Protection 1 0 0 4 1
WARNS 3 0 3 0 0
ANALYST 3 1 0 1 1
side, 1 0 4 1 0
Alaskan 5 0 0 1 0
OR 0 0 1 5 0
considered. 1 0 4 1 0
execution 0 1 0 5 0
1.67 0 0 0 0 6
BP's 2 0 0 4 0
march 3 0 0 1 2
Royalty 2 0 0 0 4
tremendous 1 0 2 1 2
powers 0 1 1 2 2
Fumio 0 0 0 6 0
Digital 0 0 0 5 1
&lt;Kokusai 0 0 0 6 0
houses. 0 0 5 1 0
3.33 2 1 0 1 2
segment. 0 0 0 4 2
on, 1 0 1 2 2
HUTTON 0 0 0 6 0
combining 2 0 0 3 1
recording 1 0 0 4 1
CEILING 6 0 0 0 0
resisting 3 0 1 2 0
INDONESIA 6 0 0 0 0
NIGERIA 3 1 2 0 0
unitholders 1 0 0 0 5
AVIATION 0 0 0 5 1
nonrecurring 0 0 0 0 6
PUTS 0 2 1 2 1
received. 0 1 0 4 1
living 1 0 3 2 0
joining 0 1 3 2 0
adviser, 0 0 0 6 0
3.28 0 0 0 2 4
2.28 0 1 0 0 5
39.0 0 0 0 0 6
attitude 1 1 3 1 0
TELLS 0 0 0 6 0
LEVEL 0 0 6 0 0
Baird 2 0 0 4 0
7.75 0 0 1 4 1
2.14 1 0 0 0 5
LABS 0 0 0 0 6
points. 0 2 3 0 1
CERTIFICATES 0 5 1 0 0
REPURCHASE, 0 0 6 0 0
Newport 0 0 0 5 1
7. 0 2 0 1 3
per-share 0 0 0 2 4
Montgomery 0 0 0 5 1
NATIONS 0 0 6 0 0
41,000 0 1 0 0 5
22.9 0 0 0 2 4
84.9 0 5 0 1 0
team 0 2 1 3 0
starch 0 3 0 3 0
F 0 2 0 0 4
AUDIT 0 0 0 0 6
realization 0 0 0 3 3
REAGAN 6 0 0 0 0
Average 2 0 1 1 2
wells, 6 0 0 0 0
70.5 0 0 0 2 4
forming 0 0 1 4 1
7-1/4 0 0 5 0 1
definitely 1 3 0 1 1
COMPLETED 1 0 0 5 0
citizens 0 0 3 3 0
debentures, 0 0 0 5 1
1,300,000 0 0 0 0 6
164,000 0 0 0 1 5
&lt;MER> 0 0 0 6 0
3.74 0 0 0 0 6
12th 0 0 0 3 3
debts. 0 0 2 1 3
Enterprise 0 0 1 2 3
3,500,000 0 0 0 2 4
R. 2 0 0 3 1
trustee 1 0 0 2 3
particular, 0 0 5 0 1
argued 1 2 0 3 0
Park 0 0 0 3 3
Casualty 0 0 0 3 3
APril 0 0 0 0 6
67.6 0 1 0 0 5
MICHIGAN 0 0 0 2 4
HIKE 1 0 1 1 3
YEUTTER 0 2 4 0 0
however 1 1 3 1 0
Hoechst 1 0 0 1 4
designs 0 0 0 6 0
stiff 3 0 0 0 3
&lt;MOB> 5 0 0 1 0
Though 0 0 4 1 1
seismic 4 0 0 0 2
troops 5 1 0 0 0
720,000 0 1 0 0 5
1,025,000 0 0 0 0 6
Kleinwort 0 0 2 3 1
Benson 0 0 2 3 1
stepped 0 0 3 3 0
competitive, 1 2 1 2 0
48.5 0 0 0 0 6
&lt;CPC> 0 0 0 3 3
unclear 0 1 2 3 0
Oman, 1 0 5 0 0
realistic 3 0 1 1 1
timely 0 2 0 3 1
assure 0 0 1 3 2
conventional 0 1 0 3 2
imposition 1 0 4 0 1
employers 0 2 2 1 1
STABILITY 0 0 6 0 0
levels." 1 0 5 0 0
CGCT 0 0 0 6 0
summer. 2 1 0 3 0
Olson 0 0 0 3 3
familiar 0 1 0 2 3
concentrating 0 0 0 4 2
Oak 0 0 0 5 1
bankers, 0 0 4 2 0
concerns. 1 1 0 4 0
shall 0 1 0 5 0
cease 1 0 2 2 1
Baker. 0 0 3 3 0
Bundesbank. 0 0 6 0 0
necessity 0 1 2 2 1
ITALY 0 1 2 3 0
FUEL 3 0 0 0 3
justify 2 0 2 1 1
270,000 1 0 0 1 4
Transworld 0 0 0 4 2
interfere 1 0 1 4 0
he's 0 1 1 4 0
Rice 0 6 0 0 0
farming 0 6 0 0 0
pose 1 2 1 0 2
Peru 0 2 3 1 0
14.50 1 1 0 3 1
Is 0 2 4 0 0
Resource 2 0 0 2 2
procedures 0 2 2 0 2
CSR 1 0 0 5 0
Esso 3 0 0 2 1
985 1 0 1 3 1
&lt;Pioneer 0 0 0 6 0
Growth 2 0 2 1 1
1,100,000 0 0 0 2 4
1,800,000 0 0 0 1 5
reached. 0 0 0 6 0
Connecticut 0 0 0 2 4
63,000 0 0 0 1 5
Commodities 0 2 1 3 0
HEINZ 0 0 0 1 5
H.J. 0 0 0 1 5
KONG 0 0 0 4 2
FRANCS 0 0 2 0 4
&lt;Societe 0 0 0 5 1
privatised 0 0 0 4 2
5. 0 0 3 0 3
Container 0 0 0 3 3
plenty 2 1 1 2 0
DISTILLATE, 6 0 0 0 0
Distillate 6 0 0 0 0
prevented 1 3 1 0 1
insect 0 6 0 0 0
official. 0 2 2 2 0
CENERGY 0 0 0 5 1
Cenergy 0 0 0 5 1
Cathay 0 0 0 0 6
airline's 0 0 0 3 3
quantities 1 5 0 0 0
41.1 0 0 0 0 6
coincide 0 0 2 0 4
changes, 2 1 1 1 1
August, 0 1 1 4 0
Switzerland 0 0 2 2 2
content 2 1 3 0 0
supplying 1 2 1 1 1
37.4 0 1 0 0 5
&lt;BP> 0 0 0 6 0
Creek 1 0 0 5 0
24.0 0 0 0 2 4
project. 0 0 1 1 4
Nigeria 5 1 0 0 0
35.8 0 1 0 0 5
25.4 0 0 0 0 6
suburban 0 0 0 4 2
56,000 0 4 0 0 2
Wales 0 2 0 3 1
1.63 0 3 0 0 3
Firms 0 1 2 3 0
startup 0 0 0 0 6
30.6 1 0 0 1 4
precise 0 1 3 1 1
crown 1 0 1 3 1
48.7 0 1 0 0 5
semi-annual 0 2 1 0 3
opposes 0 0 0 6 0
IC 0 0 0 6 0
write-down 0 0 0 0 6
630 0 0 0 5 1
repairing 5 1 0 0 0
social 1 3 0 1 1
GREECE 4 2 0 0 0
Athens 6 0 0 0 0
enrolled 0 6 0 0 0
land, 1 4 0 0 1
successful, 0 0 0 3 3
prior. 0 0 0 0 6
3.88 0 0 0 1 5
paddy 0 6 0 0 0
association, 0 4 1 1 0
tension 3 0 2 1 0
tackle 4 0 2 0 0
SUES 0 0 0 6 0
Ecuadorean 6 0 0 0 0
Rilwanu 6 0 0 0 0
42,000 0 1 2 1 2
8,000 0 2 2 0 2
Reynolds, 0 0 0 5 1
downtown 0 0 0 4 2
management's 0 1 0 5 0
43,000 0 2 0 1 3
Currently, 3 1 0 2 0
reductions. 0 1 0 0 5
Quarter 0 0 0 0 6
regain 4 0 1 0 1
BAY 0 0 0 3 3
non-public 0 0 0 6 0
PLANNING 1 2 1 2 0
Taiwan, 0 1 4 0 1
128 0 0 0 4 2
mn 0 0 0 1 5
retaliation 0 2 4 0 0
Gelco 0 0 0 5 1
inevitable 2 0 4 0 0
DENIES 0 2 3 1 0
spell 2 4 0 0 0
3rd 0 0 0 0 6
stability," 2 1 2 0 1
1978, 0 2 2 2 0
MUST 1 2 2 1 0
Department. 0 2 0 4 0
26,000 1 1 0 0 4
Tehran 6 0 0 0 0
Chinese-made 6 0 0 0 0
Akron, 0 0 0 6 0
promissory 0 0 0 4 2
obstacles 0 2 1 3 0
needed. 2 0 2 1 1
investments, 2 1 1 1 1
spin 0 0 0 5 1
companies." 0 0 0 6 0
III 0 2 0 2 2
2.68 0 0 0 0 6
contest 0 0 0 4 2
380 0 0 1 1 4
rumor 0 1 1 4 0
analyst, 0 0 1 3 2
first. 0 0 0 3 3
Taft. 0 0 0 6 0
(EIA) 6 0 0 0 0
1,200,000 0 0 0 1 5
405 1 4 0 1 0
216,000 0 1 0 0 5
"A" 0 0 0 1 5
15.75 1 0 0 2 3
comprises 0 2 2 1 1
ought 0 1 3 2 0
AM 0 0 0 1 5
grade, 6 0 0 0 0
adhering 6 0 0 0 0
strictly 4 2 0 0 0
strategy, 1 0 1 2 2
2.17 0 1 0 1 4
devalued 2 0 4 0 0
Barley 0 6 0 0 0
19, 0 2 0 3 1
QTR, 0 0 0 0 6
94.4 0 0 0 0 6
HENLEY 0 0 0 3 3
Mason 0 0 0 6 0
&lt;ITT> 0 0 0 2 4
&lt;F> 0 0 0 1 5
happy 0 0 4 2 0
relate 1 2 1 0 2
now," 1 4 1 0 0
2.63 0 1 0 0 5
2.04 0 2 0 1 3
constant 3 0 2 1 0
questioned 1 1 0 3 1
hike 2 0 0 0 4
gap 3 1 2 0 0
papers 0 0 0 6 0
near-term 0 2 1 0 3
competitively 0 5 0 0 1
counties 0 4 0 2 0
request. 0 2 1 3 0
market." 1 2 0 1 2
ceiling. 4 0 2 0 0
neither 2 2 0 1 1
USDA, 0 6 0 0 0
Red 1 1 1 0 3
cool 0 3 3 0 0
conclusion 1 1 0 4 0
2.59 0 2 0 0 4
meets 0 0 3 0 3
&lt;SFX> 0 0 0 6 0
ICC 0 0 0 6 0
EUROPEAN 0 0 1 5 0
continue. 0 3 0 0 3
rigs 6 0 0 0 0
&lt;CRK> 0 0 1 0 5
centres. 0 0 2 1 3
1979, 3 1 1 0 1
"no 0 0 1 3 2
225,000 0 4 0 0 2
elections 3 0 3 0 0
MARKETING 0 0 0 3 3
defined 1 0 2 1 2
PERU 1 1 3 1 0
48.2 0 1 0 0 5
2,100,000 0 0 0 0 6
maybe 1 0 1 1 3
possible. 0 0 0 4 2
Baker, 0 0 3 3 0
UAL 0 0 0 4 2
Henley 0 0 0 4 2
milled 0 5 0 0 1
&lt;CDN> 0 0 0 6 0
Comdata 0 0 0 6 0
lasting 2 0 3 0 1
45.8 0 0 0 0 6
discoveries 4 0 0 1 1
promise 0 1 3 2 0
insufficient 1 4 0 1 0
refusal 1 1 2 1 1
maturities 0 0 3 3 0
Dixons' 0 0 0 6 0
that's 0 0 1 4 1
Volkswagen 0 0 1 2 3
Pa., 0 0 0 6 0
storage, 3 2 0 1 0
four-year 0 0 3 2 1
Furthermore, 0 4 2 0 0
ACT 0 0 3 1 2
Ohio-based 0 0 0 5 1
replied: 3 0 2 0 1
officials. 2 2 1 1 0
fine 1 0 0 3 2
36.7 0 0 0 0 6
else 0 0 0 6 0
relates 1 0 0 0 5
reports. 1 2 0 2 1
Service, 0 5 0 0 1
letters 2 2 0 2 0
115,000 2 0 0 1 3
309,000 0 2 0 0 4
nearer 1 2 3 0 0
feasibility 1 0 0 4 1
legitimate 2 1 0 2 0
adequacy 0 0 0 2 3
Qintex 0 0 0 5 0
cooperation, 0 0 4 1 0
zones 1 0 4 0 0
corrected 0 0 3 1 1
0.7 0 0 1 1 3
incorporated 0 0 3 1 1
J.C. 1 0 0 1 3
81.3 0 0 0 1 4
45.5 0 0 0 0 5
Mount 0 0 0 2 3
WASHINGTON 0 0 0 2 3
MINERAL 0 0 0 4 1
Mineral 2 0 0 3 0
investigation. 0 0 0 2 3
sweetener 0 5 0 0 0
say, 2 1 1 1 0
work," 1 3 0 1 0
Archer 0 5 0 0 0
Daniels 0 5 0 0 0
controls. 0 1 3 0 1
BANGLADESH 0 5 0 0 0
1986/87. 1 2 0 0 2
previously, 1 1 0 0 3
attain 2 1 0 0 2
self-sufficiency 1 3 0 1 0
food. 1 4 0 0 0
Princeville 0 0 0 5 0
1.92 0 1 0 0 4
36.50 0 0 0 4 1
54.6 0 0 0 0 5
COMMONWEALTH 0 0 0 2 3
rated 0 3 0 1 1
&lt;Union 0 0 0 4 1
Michel 0 0 3 1 1
attempt, 0 0 0 4 1
Second 2 0 0 1 2
introductions 0 0 0 0 5
SUMMARY 0 5 0 0 0
USDA/NOAA 0 5 0 0 0
Orange 0 1 0 4 0
State's 1 1 1 1 1
Triangle 0 1 0 2 2
Facility 0 5 0 0 0
fend 0 0 0 4 1
DOLLARS, 0 0 5 0 0
70.1 0 0 0 0 5
2.18 0 1 0 1 3
De 0 0 0 3 2
Embassy 3 1 0 1 0
components. 0 0 0 4 1
subordinate 0 0 0 1 4
1.94 0 0 0 0 5
cts/shr 0 0 0 0 5
preceding 0 3 0 0 2
Korea, 0 1 4 0 0
218,000 0 1 0 0 4
606,000 0 0 0 0 5
108,000 0 0 0 0 5
dismissal 0 0 0 3 2
lawsuit. 0 0 0 3 2
succeeding 2 0 1 0 2
men 2 1 0 1 1
move, 1 0 3 0 1
organised 1 1 1 2 0
matching 1 0 3 0 1
remarks, 0 0 3 1 1
Had 1 2 2 0 0
wouldn't 0 1 1 2 1
significance 0 1 2 1 1
harmful 4 0 1 0 0
underlined 0 0 5 0 0
instance, 0 0 4 0 1
FTC 1 0 0 4 0
Georgia 1 0 0 2 2
FUND> 0 0 0 0 5
ASK 2 2 0 0 1
AUTHORIZED 0 4 0 0 1
Independent 2 0 0 3 0
performance, 1 0 0 1 3
bourse 0 0 0 1 4
comparisons 0 1 0 0 4
&lt;UAC> 0 0 0 2 3
56.2 0 0 0 1 4
&lt;NSC> 0 0 0 4 1
isolated 1 2 2 0 0
province, 1 3 1 0 0
harvest, 0 5 0 0 0
volume. 0 1 0 1 3
Fortune 0 0 0 5 0
52.1 0 0 2 0 3
1.68 0 1 1 1 2
Singapore. 1 0 1 1 2
DELAYED 0 3 0 1 1
Crosby 0 0 0 3 2
outlets 0 1 0 1 3
non-EC 0 5 0 0 0
3.35 0 0 0 0 5
Plains 1 2 0 1 1
companies' 0 0 0 5 0
specific. 0 0 2 1 2
Mario 0 0 0 5 0
Gabelli 0 0 0 5 0
more. 1 0 1 2 1
greenmail 0 0 0 5 0
Greenmail 0 0 0 5 0
others. 0 0 1 4 0
schillings 0 0 0 0 5
unsatisfactory 0 1 0 0 4
abolish 0 2 2 0 1
Brokers 0 1 1 0 3
medium-sized 0 1 3 0 1
&lt;GM> 0 0 0 2 3
Michigan, 0 0 0 3 2
&lt;Morgan 0 0 1 2 2
&lt;GUIN.L> 0 0 0 4 1
82.2 0 0 1 0 4
interested. 0 0 0 4 1
prompting 0 2 0 2 1
"one 1 0 1 1 2
68.8 0 1 0 0 4
touch 0 1 3 0 1
&lt;Progressive 0 0 0 5 0
Rainbow 0 0 0 5 0
&lt;Astral 0 0 0 5 0
Craig 0 0 3 2 0
Juan 2 0 0 2 1
Pillsbury 0 2 0 1 2
&lt;PSY> 0 0 0 1 4
186 0 0 1 1 3
NESTLE 0 0 0 2 3
&lt;CANADIAN 0 0 0 0 5
STABLE 1 0 4 0 0
56.0 0 2 1 0 2
RESTATES 0 0 0 1 4
delivery. 1 3 0 1 0
GUILDERS 0 0 4 0 1
full, 0 0 3 1 1
formula 1 0 1 1 2
England. 0 0 1 4 0
swaps, 0 0 5 0 0
instruments. 0 0 2 3 0
cushion 1 0 4 0 0
asset, 0 0 1 1 3
statistical 3 0 2 0 0
inherent 1 0 4 0 0
constitute 0 0 1 4 0
organized 1 0 1 3 0
rules. 1 0 3 1 0
52.5 0 0 0 0 5
ALLIED-SIGNAL 0 0 0 5 0
430 0 0 1 1 3
advisors, 0 0 1 4 0
LUCKY 0 0 0 3 2
charter 0 0 0 4 1
rebuffed 0 1 0 4 0
reimburse 0 2 0 2 1
&lt;EK> 0 0 0 4 1
Eastman 0 0 0 4 1
Kodak 0 0 0 4 1
ICN 0 0 0 3 2
41.9 0 0 0 1 4
490,000 0 0 0 0 5
Microwave 0 0 0 3 2
customs 0 4 1 0 0
1979. 2 0 0 1 2
35.6 0 0 0 0 5
GELCO 0 0 0 2 3
ADVANCED 0 0 0 1 4
Advanced 0 0 0 3 2
space 0 1 1 1 2
Morris 0 0 0 3 2
affected. 1 2 0 1 1
accountants 0 0 0 0 5
problem, 1 1 2 0 1
1,700,000 0 0 0 2 3
PORTUGUESE 0 2 0 3 0
Sanwa 0 0 1 3 1
Portugal's 0 3 0 2 0
TESCO 0 0 0 4 1
Tesco 0 0 0 4 1
&lt;TSCO.L> 0 0 0 4 1
151 1 0 1 3 0
&lt;Hillards 0 0 0 4 1
Hillards 0 0 0 4 1
meaning 0 0 2 0 3
CORN, 0 5 0 0 0
grains. 0 5 0 0 0
24.7 0 0 0 1 4
guesses 0 5 0 0 0
JIM 0 0 0 1 4
WALTER 0 0 0 1 4
Lear 1 0 0 4 0
WORKS 0 0 0 3 2
2.52 1 1 0 0 3
36.9 1 0 1 0 3
18,000 0 3 0 1 1
Baltic 1 3 0 1 0
47.3 0 0 0 0 5
4.45 0 2 0 0 3
3.34 0 2 1 0 2
35.0 0 0 1 0 4
27.7 0 1 2 0 2
Samuel 0 0 0 4 1
analyst. 0 0 0 5 0
Carbide 0 0 0 4 1
Goodyear 1 0 0 3 1
Previously 0 0 1 4 0
&lt;DOW> 0 0 0 3 2
2.22 0 0 0 1 4
SINGAPORE 0 0 1 2 2
CONTINUED 1 0 0 0 4
China. 0 1 2 0 2
68.2 0 0 0 0 5
PAYMENTS 0 2 2 0 1
FOB 0 4 1 0 0
2.74 0 0 1 1 3
34.4 0 0 0 1 4
BALANCE 1 2 0 1 1
380,000 2 1 0 2 0
ADOPTS 1 0 0 3 1
indefinite 4 0 0 1 0
Ocean 5 0 0 0 0
quake 5 0 0 0 0
Mercalli 5 0 0 0 0
centred 1 0 2 2 0
miles) 5 0 0 0 0
CHARTER 0 0 0 2 3
INDONESIAN 1 2 2 0 0
347,000 0 0 0 2 3
CONAGRA 0 0 0 2 3
restatement 0 0 0 1 4
Stephen 1 0 2 2 0
flag 1 2 1 1 0
weak, 0 0 2 1 2
Witter 1 0 1 2 1
34.8 0 0 1 0 4
caught 1 0 2 1 1
0.9 1 1 1 0 2
force, 1 1 1 0 2
Open 0 0 4 1 0
inclined 2 0 3 0 0
dollar." 0 0 5 0 0
underperforming 0 0 0 0 5
restaurants. 0 0 0 2 3
involved, 0 2 1 1 1
cuts. 2 1 1 0 1
idle 0 3 0 0 2
workers, 1 0 0 2 2
STORE 0 0 0 3 2
Wholesale 0 0 0 2 3
&lt;AFG>, 0 0 0 5 0
&lt;General 0 0 0 5 0
WOR 0 0 0 5 0
Walt 0 0 0 5 0
Disney 0 0 0 5 0
centers. 0 0 0 4 1
PEPSICO 0 0 0 4 1
thwart 1 1 0 3 0
instruments, 0 0 3 1 1
narrowing 0 0 2 2 1
DROUGHT 0 5 0 0 0
season's 0 5 0 0 0
dormancy 0 5 0 0 0
EXTEND 1 1 2 1 0
consummation 0 0 0 5 0
preferred. 0 0 0 4 1
1.84 0 1 0 0 4
Oct 0 1 0 1 3
UNSOLICITED 0 0 0 5 0
"highly 0 0 0 5 0
Gencorp. 0 0 0 5 0
radical 0 0 2 1 2
communities 0 0 0 5 0
NATURAL 2 0 0 2 1
WAITING 0 2 0 3 0
Grain, 0 5 0 0 0
River, 0 3 0 2 0
59.1 0 1 0 0 4
61.5 0 3 0 0 2
Water 0 1 0 2 2
21. 0 0 0 2 3
operators, 1 0 4 0 0
long. 2 0 2 1 0
Sunter 0 0 0 5 0
Allegheny's 0 0 0 5 0
SIEMENS 0 0 0 4 1
173 0 1 1 3 0
negotiations. 0 0 0 4 1
98.3 0 0 0 1 4
PIZZA 0 0 0 4 1
headquarters, 1 0 0 3 1
Amusements 0 0 0 5 0
source. 0 0 2 3 0
Viacom's 0 0 0 5 0
rare 0 0 2 3 0
Arsenal 0 0 0 5 0
fractional 0 0 0 1 4
thereafter. 0 0 0 3 2
arbitrageurs 0 0 0 5 0
12.50 0 0 1 3 1
Chris 0 0 4 1 0
43.7 0 0 0 0 5
Others 2 0 2 0 1
49.6 0 0 0 0 5
44.7 0 0 0 0 5
Wendy's 0 0 0 4 1
studied 0 1 0 4 0
assumes 0 0 0 0 5
Bids 0 2 3 0 0
&lt;KM> 0 0 0 2 3
DAMAGE 1 3 0 1 0
government-owned 0 1 2 1 1
cattle 1 4 0 0 0
undeveloped 3 0 0 1 1
royalties 0 0 0 4 1
&lt;ARC> 3 0 0 0 2
Forest 0 0 0 4 1
UTILICORP 0 0 0 2 3
repeat 0 0 3 1 1
L.F. 1 0 0 3 1
33.2 0 0 0 0 5
&lt;CHV> 5 0 0 0 0
1,815,000 0 0 0 0 5
damage, 4 1 0 0 0
14,000 1 1 0 0 3
November. 1 0 1 1 2
December's 4 0 1 0 0
Brent 5 0 0 0 0
Puerto 1 0 0 2 2
unwilling 2 0 2 0 1
naval 5 0 0 0 0
2,300,000 0 0 0 0 5
popular 0 0 5 0 0
complaints 1 1 1 2 0
flour, 0 3 0 2 0
OPPOSED 1 3 0 1 0
&lt;SLB> 0 0 0 5 0
strained 0 1 2 2 0
173,000 1 0 0 1 3
29,000 0 0 0 0 5
129.9 0 0 0 1 4
98.7 0 0 0 0 5
59.8 1 0 0 1 3
preferred, 0 1 0 3 1
spin-off 0 0 0 0 5
DURUM 0 5 0 0 0
manager, 0 1 0 4 0
RKO 0 0 0 5 0
appealed 1 1 0 1 2
14-1/2 0 0 2 0 3
51.7 0 0 0 0 5
district 0 1 0 3 1
CTS, 2 0 0 1 2
204,000 0 0 0 1 4
act, 2 0 2 0 1
wells. 4 0 0 1 0
determining 1 2 0 1 1
SHOWS 1 2 1 0 1
Andreas 5 0 0 0 0
Sea. 5 0 0 0 0
briefing 3 0 1 1 0
bases 3 2 0 0 0
crisis. 1 0 4 0 0
resolved. 1 0 0 2 2
al-Sabah 5 0 0 0 0
Emirates, 5 0 0 0 0
abide 3 0 0 2 0
Johnson, 0 2 0 2 1
specialised 1 0 0 4 0
California-based 0 0 0 5 0
211,000 0 0 0 0 5
ECONOMY 2 0 3 0 0
Higher 3 0 0 0 2
succeeds 1 0 0 4 0
wealthy 1 0 0 4 0
dip 1 0 3 0 1
pursued 2 0 0 3 0
attached 3 0 0 1 1
front 2 1 2 0 0
riyals 3 0 1 0 1
bold 2 0 0 2 1
selective 3 1 0 1 0
reversing 0 1 4 0 0
wages 0 2 3 0 0
30-year 1 0 3 0 1
comfortably 0 0 2 1 2
Armstrong 0 0 0 5 0
72.1 0 0 3 0 2
MANHATTAN 0 0 0 2 3
purposes, 0 0 1 4 0
offices. 0 1 0 3 1
Cyclops, 0 0 0 5 0
validly 0 0 0 5 0
Utah 1 0 0 3 1
consolidate 0 0 1 3 1
world. 0 0 2 3 0
PAYOUTS 0 0 0 0 5
tax-free 0 0 0 3 2
48.8 0 0 0 0 5
60.7 0 1 0 0 4
enterprises 0 0 4 1 0
2-for-1 0 0 0 0 5
(G-5) 0 0 5 0 0
moment," 2 0 3 0 0
cast 0 1 4 0 0
sufficiently 1 0 2 1 1
Hoare 0 0 2 1 2
96,000 0 1 0 0 4
VALUE 0 0 2 1 2
Export-Import 2 0 3 0 0
SINCE 0 0 1 0 4
1980 0 2 1 1 1
accident 1 2 0 0 2
tend 1 0 3 0 1
charges, 0 0 0 1 4
5-1/4 0 0 2 0 3
RECOVERY 2 1 0 0 2
year-on-year 2 0 0 0 3
goods, 1 1 2 0 1
grossly 0 0 2 3 0
4.35 0 0 1 1 3
bearing 0 1 1 1 2
BIL 0 0 0 5 0
R.I., 0 0 0 5 0
50.5 0 0 2 1 2
House, 2 1 1 1 0
Ottawa 0 4 0 1 0
Committee. 0 2 3 0 0
rein 0 0 4 0 1
10-day 0 0 3 2 0
Maryland 0 0 0 5 0
61.7 0 0 0 0 5
department. 0 0 3 1 1
location 1 0 0 2 2
T 0 0 0 3 2
PAYMENT 0 1 0 2 2
divisions. 0 0 0 2 3
65.0 0 0 0 0 5
AG. 0 0 0 2 3
junior 0 0 0 3 2
Purolator. 0 0 0 5 0
2400 0 0 0 5 0
Bros 0 0 0 5 0
issued, 0 0 2 3 0
issued. 0 1 0 3 1
Boone 2 0 0 2 1
pure 2 1 0 1 1
17.85 5 0 0 0 0
evening 1 0 1 3 0
SEVEN 1 0 0 0 4
Memphis, 0 0 0 3 2
Tenn., 0 0 0 3 2
6-3/16 0 0 5 0 0
301,000 0 0 0 0 5
Wisconsin, 0 0 0 5 0
EDISON 0 0 0 2 3
Spain. 1 2 0 2 0
contains 1 2 0 2 0
tested 3 0 1 1 0
name, 0 0 1 2 2
59.3 0 0 0 2 3
consisted 0 2 0 2 1
inventory, 0 2 0 0 3
Leasing 0 0 0 4 1
optional 0 5 0 0 0
origin 0 5 0 0 0
CLOSES 4 0 0 1 0
winds 2 3 0 0 0
Egypt's 2 1 2 0 0
terminal, 4 0 0 1 0
&lt;BNR> 0 0 0 5 0
oilseed 0 5 0 0 0
KLM 0 0 0 5 0
cooperated 0 0 3 2 0
SHIP 3 1 0 1 0
warplanes 5 0 0 0 0
accurate 2 1 0 0 2
sources. 3 0 2 0 0
Kharg 5 0 0 0 0
580,000 0 0 0 0 5
129 0 2 1 1 1
157 0 1 0 0 4
Additional 2 1 0 2 0
688 0 0 0 0 5
Schweizerische 0 0 0 0 5
3/8 0 0 1 3 1
Liquidating 0 0 0 0 5
Management's 0 0 0 5 0
Mitchell 2 0 1 1 1
party. 0 0 0 5 0
TEXACO 5 0 0 0 0
estimates, 2 1 0 0 2
2.91 2 1 1 0 1
117 1 0 1 0 3
24,000 1 1 0 0 3
"well 2 1 0 1 1
EFFECTIVE 5 0 0 0 0
flying 1 1 0 2 1
pretty 1 3 1 0 0
Lyng's 0 5 0 0 0
EEP. 0 5 0 0 0
9.3 1 0 0 1 3
affiliates. 0 0 0 4 1
COMMITMENT 3 1 0 1 0
offered, 0 1 1 3 0
hazardous 0 0 0 4 1
Colombian 4 1 0 0 0
Hall 1 1 0 2 1
Carter 1 0 0 2 2
mcf 3 0 0 1 1
decade. 2 0 1 1 1
influential 1 1 2 1 0
possible," 1 1 2 1 0
Applied 0 0 0 3 2
BROTHERS 0 0 0 2 3
Gould 0 0 1 4 0
sectors. 0 0 0 3 2
Corning 0 0 0 5 0
in. 0 0 0 4 1
GET 0 0 0 5 0
receives 0 1 0 3 1
1992. 0 1 1 0 3
magnitude 1 0 0 1 3
BACKS 1 0 2 2 0
interpreted 0 1 2 2 0
Would 1 1 3 0 0
hardly 0 0 5 0 0
drops 0 1 3 0 1
46.8 0 0 0 0 5
LOW 1 1 1 2 0
sticking 2 2 1 0 0
liftings 5 0 0 0 0
Spot 4 0 1 0 0
Mexican 3 0 0 0 2
prepare 1 1 2 1 0
